Date;Ukrainians Arriving from Ukraine;Ukrainians Leaving (By road, air, etc.);Ukrainians Nationals Remaining in Moldova
11/03/22;6832;7336;100703
12/03/22;5859;6921;100676
13/03/22;5859;7104;100785
14/03/22;6714;5859;102075
15/03/22;6958;6963;102482
16/03/22;6181;6353;102686
17/03/22;4381;4988;102424
18/03/22;3486;4202;102175
19/03/22;3306;4396;101492
20/03/22;2564;3729;100779
21/03/22;2631;3377;100376
22/03/22;3029;3548;100275
23/03/22;2826;3317;100175
24/03/22;2535;2999;100101
25/03/22;2343;3259;99723
26/03/22;2053;3216;99001
27/03/22;2132;3304;98315
28/03/22;1556;2421;97922
29/03/22;1817;2828;97314
30/03/22;1623;2855;96564
31/03/22;1270;2698;95731
01/04/22;1334;2738;94953
02/04/22;1261;2487;94214
03/04/22;1679;1784;94562
04/04/22;1632;1828;94817
05/04/22;2468;2233;95437
06/04/22;2603;2663;95757
07/04/22;2432;2543;96077
08/04/22;2263;2440;96354
09/04/22;4076;2056;98678
10/04/22;462;1281;98363
11/04/22;1929;2617;98240
12/04/22;2366;2689;98286
13/04/22;1662;2414;97969
14/04/22;1755;2314;97863
